,Kenya Shilling Monthly Average Exchange Rates\1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,United States dollar,Sterling pound,Euro,South Africa Rand,Uganda shilling\2,Tanzania shilling\2,Rwanda Franc,Burundi Franc,AE Dirham,Deutch Mark,Canadian dollar,French franc,Swiss franc,Dutch guilder,Italian lira,Belgium franc,Japanese yen (100),Swdish kroner,Norwegian kroner,Danish kroner,Austrian schilling,Finn marka,Spanish peseta,Indian rupee,Hong  kong dollar,Singapore dollar,Saudi riyal,Chinese Yuan,Australian dollar
1993,1,36.23,55.62,,,,,,,,22.44,28.36,6.62,24.54,19.96,2.43,1.09,29,5.01,5.28,5.74,3.19,6.71,31.64,1.4,,,,,
1993,2,36.56,52.68,,,,,,,,22.28,29.01,6.58,24.08,19.79,2.37,1.08,30.21,4.85,5.24,5.78,3.17,6.29,31.16,1.41,,,,,
1993,3,43.12,62.92,,,,,,,,26.16,34.59,7.7,28.26,23.28,2.71,1.27,36.83,5.58,6.13,6.78,3.72,7.21,36.62,1.44,,,,,
1993,4,51.88,80.34,,,,,,,,32.57,41.12,9.63,35.66,28.99,3.39,1.58,46.26,6.99,7.68,8.48,4.63,9.47,45.9,1.65,,,,,
1993,5,62.16,96.38,,,,,,,,38.73,49,11.49,42.94,34.53,4.22,1.88,56.36,8.5,9.15,10.08,5.5,11.33,51.43,1.98,,,,,
1993,6,64.15,96.97,,,,,,,,38.86,50.18,11.55,43.51,34.64,4.27,1.89,59.79,8.64,9.19,10.11,5.53,11.56,50.59,2.04,,,,,
1993,7,65.33,97.94,,,,,,,,38.17,50.97,11.22,43.19,33.95,4.18,1.85,60.69,8.27,9,9.45,5.42,11.35,48.79,2.08,,,,,
1993,8,65.42,97.74,,,,,,,,38.6,50.09,11.04,43.73,34.31,4.08,1.82,63.07,8.15,8.9,9.52,5.48,11.24,47.21,2.09,,,,,
1993,9,65.8,100.32,,,,,,,,40.54,49.84,11.6,46.44,36.11,4.2,1.89,62.49,8.22,9.3,9.92,5.77,11.43,51.04,2.1,,,,,
1993,10,67.97,102.12,,19.99,,,,,,41.45,51.28,11.84,47.22,36.93,4.25,1.91,63.59,8.55,9.49,10.27,5.9,11.83,50.02,2.16,,,,,
1993,11,68.98,102.16,,20.5,,,,,,40.62,52.42,11.68,46.12,36.2,4.15,1.91,64.02,8.37,9.35,10.21,5.78,11.91,50.34,2.2,,,,,
1993,12,68.41,101.94,,20.16,,,,,,39.99,51.38,11.7,46.71,35.69,4.05,1.92,62.35,8.19,9.22,10.2,5.69,11.9,48.74,2.18,,,,,
1994,1,67.93,101.33,,19.75,,,,,,39,51.56,11.48,46.11,34.83,4,1.88,60.97,8.36,9.05,10.04,5.55,11.94,47.43,2.17,,,,,
1994,2,67.41,99.75,,19.55,,,,,,38.85,50.28,11.44,46.27,34.65,4,1.89,63.35,8.46,9.01,9.97,5.52,12.1,47.82,2.15,,,,,
1994,3,66.05,98.58,,19.12,,,,,,39.03,48.5,11.46,46.34,34.74,3.96,1.9,62.87,8.35,9,9.92,5.55,11.95,47.59,2.11,,,,,
