,,COMMERCIAL BANKS' WEIGHTED AVERAGE INTEREST RATES (%) 1/,,,
YEAR,MONTH,Deposit,Savings,Lending ,Overdraft 
1991,JUL,13.5,12.97,16.71,16.15
,AUG,13.59,13.24,16.42,13.79
,SEP,13.49,13.1,17.26,16.95
,OCT,13.47,13.3,17.78,17.53
,NOV,13.7,13.37,17.94,18
,DEC,13.73,13.22,17.87,17.91
1992,JAN,13.71,13.18,17.13,15.05
,FEB,13.83,13.3,17.61,16.37
,MAR,13.85,13.45,18.12,18.47
,APR,13.76,13.38,17.37,15.3
,MAY,13.66,13.16,18.53,18.81
,JUN,13.65,13.43,18.54,18.7
,JUL,13.61,13.5,18.68,18.95
,AUG,13.61,13.4,18.62,19.02
,SEP,13.81,13.47,18.95,19.07
,OCT,14.23,13.41,19.47,19.73
,NOV,14.29,13.28,19.15,19.64
,DEC,14.39,13.23,19.51,19.76
1993,JAN,14.24,13.15,19.57,19.75
,FEB,14.25,13.28,19.7,19.86
,MAR,14.45,13.19,19.82,19.96
,APR,15.32,14.38,20.77,21.35
,MAY,15.49,13.34,24.16,24.2
,JUN,17.28,13.43,24.51,25.28
,JUL,18.47,14.22,25.45,26.73
,AUG,22.51,14.81,26.37,27.73
,SEP,23.03,15.45,27.04,28.27
,OCT,23.04,16.51,30.06,32.23
,NOV,23.43,17.28,30.81,32.86
,DEC,22.36,17.37,31.64,33.5
1994,JAN,23.27,18.62,32.18,33.31
,FEB,20.84,18.4,32.16,33.24
,MAR,19.98,17.46,30.68,32.62
,APR,18.61,18,32.28,33.28
,MAY,17.76,17.44,30.97,32.3
,JUN,17.42,16.11,31.49,33.17
,JUL,16.69,15.07,32.17,32.94
,AUG,16.67,15.07,32.18,32.94
,SEP,16.76,14.97,31.37,32.66
,OCT,15.11,13.9,29.21,29.76
,NOV,14.05,12.4,25.96,26.98
,DEC,13.05,12.15,25.91,26.87
1995,JAN,12.2,12.16,25.24,26.03
,FEB,12.08,11.81,24.09,24
,MAR,11.3,11.66,23.61,23.33
,APR,10.83,9.21,23.32,22.78
,MAY,9.81,9.08,23.09,22.61
,JUN,10.13,9.31,23.32,23.08
,JUL,10.32,9.07,22.96,23.04
,AUG,11.9,8.96,24.72,24.64
,SEP,11.8,9.22,26.19,25.91
,OCT,11.97,9.13,26.43,26.44
,NOV,12.46,9.26,28.38,28.57
,DEC,12.77,9.49,28.99,29.23
1996,JAN,13.33,9.64,27.81,27.94
,FEB,13.62,9.7,27.79,27.97
,MAR,13.89,10.18,28.06,28.42
,APR,14.23,10.06,27.99,28.53
,MAY,14.19,10.65,28.06,28.39
,JUN,14.17,10.74,28.34,28.54
,JUL,14.05,10.67,28.15,27.87
,AUG,13.9,10.55,28.17,27.99
,SEP,14.28,10.74,28.44,28.12
,OCT,14.19,10.78,28.78,28.91
,NOV,14.29,10.97,28.7,28.87
,DEC,14.65,11.22,28.58,28.9
1997,JAN,14.54,10.91,28.81,28.71
,FEB,14.47,10.87,28.6,28.43
,MAR,14.33,10.88,28.57,28.46
,APR,14.24,10.99,28.57,28.16
,MAY,14.95,12.43,27.26,28.78
,JUN,13.89,10.59,27.49,28.52
,JUL,14.11,10.79,26.86,27.72
,AUG,14.06,10.82,26.48,27.37
,SEP,14.53,10.71,28.21,28.96
,OCT,15.21,10.92,29.07,29.66
,NOV,15.88,10.19,29.8,30.25
,DEC,16.02,9.73,29.85,30.4
1998,JAN,15.94,9.77,29.81,30.43
,FEB,15.88,9.77,29.9,30.43
,MAR,15.89,9.8,30.2,30.81
,APR,18.37,10.81,30.41,29.28
,MAY,17.85,11.23,30.54,30.69
,JUN,16.87,12.27,30.46,30.74
,JUL,16.67,11.56,30.37,30.69
,AUG,16.35,10.81,29.77,30.59
,SEP,15.96,10.46,29.08,29.76
,OCT,15.39,9.74,28.99,29.58
,NOV,14.67,9.57,28.19,28.84
,DEC,12.99,7.96,26.16,26.66
