Macrotrends Data Download

Kenya Economic Growth 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth Rate
date, Billions of US $, US $, Annual % Change
1960-12-31,0.7912654588181,102.0799
1961-12-31,0.792959472139,98.5353,-7.7746
1962-12-31,0.8681114000141,103.7967,9.4574
1963-12-31,0.926589348573,106.5388,8.7783
1964-12-31,0.9987593336433,110.392,4.9645
1965-12-31,0.99791931998,105.9677,2.0091
1966-12-31,1.1645196731976,118.797,14.7286
1967-12-31,1.2325595059236,120.8265,3.3612
1968-12-31,1.3532954575261,127.5025,7.9827
1969-12-31,1.4583794154028,132.105,7.9592
1970-12-31,1.6034473572517,139.7573,-4.6554
1971-12-31,1.7783912891912,149.464,22.1739
1972-12-31,2.1072791573834,171.0051,17.0824
1973-12-31,2.5089984574073,196.6237,5.8966
1974-12-31,2.9699421803469,224.9283,4.0656
1975-12-31,3.2593449357684,238.7465,0.8822
1976-12-31,3.4745423920321,246.3818,2.154
1977-12-31,4.4943788553311,308.3126,9.4538
1978-12-31,5.3037348825345,351.5335,6.9125
1979-12-31,6.2343909752709,399.1131,7.6152
1980-12-31,7.2653153316227,448.833,5.592
1981-12-31,6.8544914539021,408.3467,3.7735
1982-12-31,6.4315793575481,369.3871,1.5065
1983-12-31,5.9791984637853,330.9008,1.3091
1984-12-31,6.1914370706137,330.1541,1.7552
1985-12-31,6.1350343381176,315.3909,4.3006
1986-12-31,7.2391267171553,359.068,7.1776
1987-12-31,7.9708205306055,381.706,5.9371
1988-12-31,8.3553808791296,386.3559,6.2032
1989-12-31,8.283114648247,369.9834,4.6903
1990-12-31,8.5723591627441,370.1001,4.1921
1991-12-31,8.1514790042133,340.806,1.4383
1992-12-31,8.2091291717365,332.9503,-0.7995
1993-12-31,5.7517899150536,226.5213,0.3532
1994-12-31,7.1481453757855,273.5217,2.6328
1995-12-31,9.0463260599886,336.5656,4.4062
1996-12-31,12.04585843624,436.1955,4.1468
1997-12-31,13.115773737566,462.4049,0.4749
1998-12-31,14.093998843733,483.7086,3.2902
1999-12-31,12.896013576732,430.3674,2.3054
2000-12-31,12.705357103006,411.8216,0.5997
2001-12-31,12.986007425878,408.3606,3.7799
2002-12-31,13.147743910724,401.0926,0.5469
2003-12-31,14.904517649848,441.3914,2.9325
2004-12-31,16.095337093837,462.6182,5.1043
2005-12-31,18.737897744795,522.7769,5.9067
2006-12-31,25.825524820806,699.4001,6.4725
2007-12-31,31.958195182241,840.1916,6.8507
2008-12-31,35.89515332785,915.9989,0.2323
2009-12-31,42.347217912918,1049.1218,3.3069
2010-12-31,45.405587556731,1093.639,8.0585
2011-12-31,46.869457318254,1099.3151,5.1211
2012-12-31,56.396706005943,1289.7808,4.5687
2013-12-31,61.671425370023,1376.8289,3.7978
2014-12-31,68.285768554472,1489.9191,5.0201
2015-12-31,70.120413328784,1496.6529,4.9677
2016-12-31,74.815121314938,1562.0761,4.2135
2017-12-31,82.035800868187,1675.9739,3.838
2018-12-31,92.202956320532,1845.7829,5.6479
2019-12-31,100.37971369742,1970.1051,5.1142
2020-12-31,100.66654266572,1936.4246,-0.2502
2021-12-31,110.34707951736,2081.7999,7.5174
