Macrotrends Data Download

Kenya Inflation Rate 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,1.2438
1961-12-31,2.457,1.21
1962-12-31,3.1175,0.66
1963-12-31,0.6977,-2.42
1964-12-31,-0.0993,-0.8
1965-12-31,3.5785,3.68
1966-12-31,5.0144,1.44
1967-12-31,1.7592,-3.26
1968-12-31,0.3667,-1.39
1969-12-31,-0.1715,-0.54
1970-12-31,2.1885,2.36
1971-12-31,3.7802,1.59
1972-12-31,5.8316,2.05
1973-12-31,9.2812,3.45
1974-12-31,17.8099,8.53
1975-12-31,19.1202,1.31
1976-12-31,11.449,-7.67
1977-12-31,14.821,3.37
1978-12-31,16.9318,2.11
1979-12-31,7.9794,-8.95
1980-12-31,13.8582,5.88
1981-12-31,11.6031,-2.26
1982-12-31,20.6667,9.06
1983-12-31,11.3978,-9.27
1984-12-31,10.2841,-1.11
1985-12-31,13.0066,2.72
1986-12-31,2.5343,-10.47
1987-12-31,8.6377,6.1
1988-12-31,12.265,3.63
1989-12-31,13.7893,1.52
1990-12-31,17.7818,3.99
1991-12-31,20.0845,2.3
1992-12-31,27.3324,7.25
1993-12-31,45.9789,18.65
1994-12-31,28.8144,-17.16
1995-12-31,1.5543,-27.26
1996-12-31,8.8641,7.31
1997-12-31,11.3618,2.5
1998-12-31,6.7224,-4.64
1999-12-31,5.742,-0.98
2000-12-31,9.98,4.24
2001-12-31,5.7386,-4.24
2002-12-31,1.9613,-3.78
2003-12-31,9.8157,7.85
2004-12-31,11.624,1.81
2005-12-31,10.3128,-1.31
2006-12-31,14.4537,4.14
2007-12-31,9.7589,-4.69
2008-12-31,26.2398,16.48
2009-12-31,9.2341,-17.01
2010-12-31,3.9614,-5.27
2011-12-31,14.0225,10.06
2012-12-31,9.3778,-4.64
2013-12-31,5.7175,-3.66
2014-12-31,6.8782,1.16
2015-12-31,6.5822,-0.3
2016-12-31,6.2972,-0.29
2017-12-31,8.0057,1.71
2018-12-31,4.6898,-3.32
2019-12-31,5.2359,0.55
2020-12-31,5.4048,0.17
2021-12-31,6.1109,0.71
